year,anomaly_c,lower_c,upper_c
1850,-0.06252327,-0.23564015,0.110593624
1851,0.10044155,-0.07380297,0.27468607
1852,0.13990693,-0.024693152,0.30450702
1853,0.101611085,-0.057469986,0.26069218
1854,0.07037581,-0.06758561,0.20833722
1855,0.0725734,-0.062847964,0.20799474
1856,0.035869516,-0.10835164,0.18009067
1857,-0.10189607,-0.25372803,0.049935885
1858,-0.032796256,-0.18350612,0.11791358
1859,0.07198254,-0.0702449,0.21421002
1860,-0.04316949,-0.19423454,0.10789556
1861,-0.09973674,-0.2702844,0.07081095
1862,-0.19086556,-0.3598417,-0.021889409
1863,-0.018886646,-0.2140082,0.17623492
1864,-0.13017713,-0.31695038,0.056596078
1865,-0.028281799,-0.22767155,0.17110795
1866,-0.036202036,-0.23232661,0.15992254
1867,-0.035454713,-0.2373287,0.16641925
1868,0.0008390935,-0.182635,0.1843132
1869,0.04543773,-0.11618047,0.20705594
1870,0.036178626,-0.1110759,0.18343316
1871,-0.0094633605,-0.15962742,0.1407007
1872,0.054508634,-0.081856035,0.19087328
1873,0.04278163,-0.08742987,0.17299314
1874,-0.001451364,-0.1335081,0.13060537
1875,-0.00278773,-0.13947873,0.13390332
1876,-0.046886496,-0.18599264,0.09221966
1877,0.28153554,0.15366279,0.40940827
1878,0.37427387,0.25116238,0.49738535
1879,0.07522429,-0.056616865,0.20706546
1880,0.060786255,-0.06173613,0.18330865
1881,0.15094857,0.025931248,0.27596587
1882,0.09185199,-0.03333866,0.21704261
1883,0.03640274,-0.07523092,0.14803644
1884,-0.11048927,-0.21954362,-0.0014349727
1885,-0.09417247,-0.2035198,0.015174845
1886,-0.044213854,-0.1488369,0.060409196
1887,-0.12438171,-0.23906486,-0.009698501
1888,-0.008627316,-0.12612046,0.108865805
1889,0.11355785,-0.010100653,0.23721638
1890,-0.13629024,-0.2608838,-0.011696657
1891,-0.03357353,-0.17018043,0.10303334
1892,-0.14260815,-0.28065705,-0.0045592394
1893,-0.13098629,-0.2659973,0.0040247235
1894,-0.11478632,-0.258179,0.028606305
1895,-0.07787656,-0.21693264,0.061179467
1896,0.08536542,-0.04644259,0.21717344
1897,0.109309204,-0.02871119,0.24732961
1898,-0.110081755,-0.24544589,0.025282392
1899,0.019652942,-0.11072015,0.15002604
1900,0.13379936,0.00025049766,0.2673482
1901,0.076807,-0.055596255,0.20921025
1902,-0.07343387,-0.2052205,0.058352776
1903,-0.17125247,-0.2940092,-0.048495732
1904,-0.23310672,-0.36032057,-0.10589286
1905,-0.04198443,-0.16078793,0.07681904
1906,0.048589446,-0.07290112,0.17008
1907,-0.1355211,-0.25400954,-0.017032703
1908,-0.14259313,-0.26068556,-0.024500718
1909,-0.16894333,-0.28019816,-0.057688557
1910,-0.15812288,-0.2715884,-0.044657372
1911,-0.17583631,-0.28575146,-0.06592115
1912,-0.11218607,-0.2136315,-0.010740599
1913,-0.09955799,-0.20894615,0.009830127
1914,0.104505904,-0.0032959192,0.21230775
1915,0.17337433,0.055861004,0.29088765
1916,-0.05626356,-0.17665534,0.06412826
1917,-0.1799336,-0.30941504,-0.050452165
1918,-0.06207218,-0.2007743,0.076629974
1919,0.031567015,-0.1052972,0.16843127
1920,0.059566654,-0.07021289,0.18934622
1921,0.12256629,0.005072275,0.24006031
1922,0.025829384,-0.0818181,0.13347688
1923,0.04940743,-0.056283377,0.15509824
1924,0.05545739,-0.050066702,0.16098152
1925,0.08436141,-0.02336215,0.19208503
1926,0.24183145,0.1328454,0.3508175
1927,0.13812429,0.034809746,0.24143882
1928,0.15554583,0.046397395,0.26469427
1929,-0.026352962,-0.13408561,0.08137972
1930,0.19407724,0.08732895,0.3008255
1931,0.25814116,0.1525209,0.36376143
1932,0.21397778,0.11471919,0.31323636
1933,0.035649903,-0.059692793,0.13099262
1934,0.18691353,0.09142042,0.28240663
1935,0.15109025,0.058787353,0.24339312
1936,0.19298774,0.09765903,0.28831646
1937,0.34791222,0.25434914,0.44147533
1938,0.35106725,0.2567927,0.44534183
1939,0.32215777,0.2275715,0.41674402
1940,0.43778524,0.3199536,0.55561686
1941,0.39831275,0.19186857,0.60475695
1942,0.36344865,0.15471435,0.57218295
1943,0.37031943,0.1671606,0.5734783
